SN,act_id,c17_2
1165,"Goats, sheep, pigs, etc.",Throughout the year
1165,"Food crops: maize, rice, beans, etc.",Seasonally
2543,"Food crops: maize, rice, beans, etc.",Seasonally
2543,Cattle,Throughout the year
3976,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
3976,"Food crops: maize, rice, beans, etc.",Seasonally
7111,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
8023,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
8023,"Food crops: maize, rice, beans, etc.",Seasonally
582,"Food crops: maize, rice, beans, etc.",Seasonally
582,"Goats, sheep, pigs, etc.",Throughout the year
582,"Other livestock such as poultry, rabbits etc.",Throughout the year
8024,"Food crops: maize, rice, beans, etc.",Seasonally
5358,"Other livestock such as poultry, rabbits etc.",Throughout the year
5358,"Food crops: maize, rice, beans, etc.",Seasonally
5358,Cattle,Throughout the year
5358,"Goats, sheep, pigs, etc.",Throughout the year
6812,"Food crops: maize, rice, beans, etc.",Seasonally
5815,"Food crops: maize, rice, beans, etc.",Seasonally
1667,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
1667,"Food crops: maize, rice, beans, etc.",Seasonally
1667,Oil seeds,Seasonally
1667,"Goats, sheep, pigs, etc.",Throughout the year
7112,"Food crops: maize, rice, beans, etc.",Seasonally
3977,"Goats, sheep, pigs, etc.",Throughout the year
3977,"Other livestock such as poultry, rabbits etc.",Throughout the year
3977,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3977,"Food crops: maize, rice, beans, etc.",Throughout the year
3977,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1862,"Food crops: maize, rice, beans, etc.",Seasonally
2733,"Food crops: maize, rice, beans, etc.",Throughout the year
2733,"Other livestock such as poultry, rabbits etc.",Throughout the year
2733,Cattle,Seasonally
4269,"Goats, sheep, pigs, etc.",Throughout the year
4269,"Food crops: maize, rice, beans, etc.",Seasonally
4269,"Other livestock such as poultry, rabbits etc.",Throughout the year
85,Beekeeping,Only sometimes
85,"Goats, sheep, pigs, etc.",Throughout the year
85,"Other livestock such as poultry, rabbits etc.",Throughout the year
85,"Food crops: maize, rice, beans, etc.",Seasonally
