SN,act_id,c17_2
3274,"Food crops: maize, rice, beans, etc.",Seasonally
3274,Cattle,Throughout the year
2549,"Food crops: maize, rice, beans, etc.",Seasonally
3477,"Food crops: maize, rice, beans, etc.",Seasonally
5823,Oil seeds,Seasonally
5823,"Food crops: maize, rice, beans, etc.",Seasonally
5823,"Goats, sheep, pigs, etc.",Throughout the year
5068,Oil seeds,Seasonally
5068,"Food crops: maize, rice, beans, etc.",Seasonally
4547,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
4547,"Goats, sheep, pigs, etc.",Only sometimes
4547,Cattle,Only sometimes
4547,"Food crops: maize, rice, beans, etc.",Seasonally
3275,"Food crops: maize, rice, beans, etc.",Seasonally
4283,"Food crops: maize, rice, beans, etc.",Seasonally
4770,"Food crops: maize, rice, beans, etc.",Seasonally
4770,Cattle,Throughout the year
4770,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
4770,"Other livestock such as poultry, rabbits etc.",Throughout the year
4770,"Goats, sheep, pigs, etc.",Throughout the year
4770,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
9165,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
3994,"Food crops: maize, rice, beans, etc.",Seasonally
3994,"Goats, sheep, pigs, etc.",Throughout the year
3994,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
6355,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6355,"Food crops: maize, rice, beans, etc.",Seasonally
6355,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2140,"Food crops: maize, rice, beans, etc.",Seasonally
1187,"Food crops: maize, rice, beans, etc.",Seasonally
4771,"Food crops: maize, rice, beans, etc.",Seasonally
2141,"Food crops: maize, rice, beans, etc.",Seasonally
2141,"Goats, sheep, pigs, etc.",Throughout the year
3995,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3995,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
3995,"Food crops: maize, rice, beans, etc.",Throughout the year
3478,"Other livestock such as poultry, rabbits etc.",Throughout the year
3478,"Food crops: maize, rice, beans, etc.",Seasonally
3276,"Food crops: maize, rice, beans, etc.",Seasonally
837,"Food crops: maize, rice, beans, etc.",Seasonally
5210,"Food crops: maize, rice, beans, etc.",Seasonally
4284,"Food crops: maize, rice, beans, etc.",Throughout the year
4548,"Food crops: maize, rice, beans, etc.",Seasonally
1188,"Food crops: maize, rice, beans, etc.",Seasonally
838,"Other livestock such as poultry, rabbits etc.",Throughout the year
838,"Food crops: maize, rice, beans, etc.",Seasonally
105,Oil seeds,Seasonally
105,"Food crops: maize, rice, beans, etc.",Seasonally
3479,"Food crops: maize, rice, beans, etc.",Seasonally
1189,"Food crops: maize, rice, beans, etc.",Seasonally
9493,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
9493,"Food crops: maize, rice, beans, etc.",Seasonally
2359,"Food crops: maize, rice, beans, etc.",Seasonally
2359,"Goats, sheep, pigs, etc.",Throughout the year
2359,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
6357,Fishing or aquaculture,Throughout the year
1876,"Food crops: maize, rice, beans, etc.",Seasonally
2142,"Food crops: maize, rice, beans, etc.",Seasonally
1877,"Food crops: maize, rice, beans, etc.",Seasonally
1877,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
839,"Food crops: maize, rice, beans, etc.",Seasonally
6358,"Other livestock such as poultry, rabbits etc.",Throughout the year
6358,"Food crops: maize, rice, beans, etc.",Seasonally
8424,"Food crops: maize, rice, beans, etc.",Seasonally
8424,"Goats, sheep, pigs, etc.",Throughout the year
5611,"Other livestock such as poultry, rabbits etc.",Throughout the year
5611,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5611,"Food crops: maize, rice, beans, etc.",Seasonally
1878,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1878,"Food crops: maize, rice, beans, etc.",Seasonally
2969,"Food crops: maize, rice, beans, etc.",Seasonally
2746,"Other livestock such as poultry, rabbits etc.",Throughout the year
2746,"Food crops: maize, rice, beans, etc.",Seasonally
2746,"Goats, sheep, pigs, etc.",Throughout the year
2746,Oil seeds,Seasonally
2746,Cattle,Throughout the year
1677,"Food crops: maize, rice, beans, etc.",Seasonally
8730,"Food crops: maize, rice, beans, etc.",Seasonally
2970,"Goats, sheep, pigs, etc.",Throughout the year
2970,"Other livestock such as poultry, rabbits etc.",Only sometimes
2970,Cattle,Throughout the year
2970,"Food crops: maize, rice, beans, etc.",Seasonally
2970,Oil seeds,Seasonally
2360,"Food crops: maize, rice, beans, etc.",Seasonally
2360,Cattle,Throughout the year
5612,"Food crops: maize, rice, beans, etc.",Throughout the year
840,Cattle,Throughout the year
840,"Food crops: maize, rice, beans, etc.",Throughout the year
840,"Goats, sheep, pigs, etc.",Throughout the year
840,"Other livestock such as poultry, rabbits etc.",Throughout the year
3996,"Food crops: maize, rice, beans, etc.",Throughout the year
3996,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
3996,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3997,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
3997,"Food crops: maize, rice, beans, etc.",Throughout the year
3997,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3997,"Goats, sheep, pigs, etc.",Throughout the year
3997,"Other livestock such as poultry, rabbits etc.",Throughout the year
6640,"Food crops: maize, rice, beans, etc.",Seasonally
4549,"Food crops: maize, rice, beans, etc.",Seasonally
4772,"Food crops: maize, rice, beans, etc.",Throughout the year
4772,"Other livestock such as poultry, rabbits etc.",Throughout the year
4772,"Goats, sheep, pigs, etc.",Throughout the year
4772,Cattle,Throughout the year
3998,"Food crops: maize, rice, beans, etc.",Seasonally
3998,"Goats, sheep, pigs, etc.",Seasonally
2747,"Food crops: maize, rice, beans, etc.",Seasonally
2747,"Other livestock such as poultry, rabbits etc.",Throughout the year
2747,Cattle,Throughout the year
5613,Cattle,Throughout the year
6641,"Other livestock such as poultry, rabbits etc.",Throughout the year
6641,"Food crops: maize, rice, beans, etc.",Seasonally
4773,"Food crops: maize, rice, beans, etc.",Only sometimes
4773,"Goats, sheep, pigs, etc.",Throughout the year
4773,Cattle,Throughout the year
4773,Oil seeds,Only sometimes
4773,"Other livestock such as poultry, rabbits etc.",Throughout the year
2971,"Other livestock such as poultry, rabbits etc.",Throughout the year
2971,"Food crops: maize, rice, beans, etc.",Seasonally
9362,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
9362,"Goats, sheep, pigs, etc.",Throughout the year
9362,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
9362,"Food crops: maize, rice, beans, etc.",Throughout the year
9362,"Other livestock such as poultry, rabbits etc.",Throughout the year
1679,"Food crops: maize, rice, beans, etc.",Seasonally
3805,"Food crops: maize, rice, beans, etc.",Seasonally
3805,"Other livestock such as poultry, rabbits etc.",Throughout the year
3805,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
3805,Cattle,Throughout the year
1680,"Food crops: maize, rice, beans, etc.",Seasonally
7119,"Food crops: maize, rice, beans, etc.",Seasonally
7119,"Other livestock such as poultry, rabbits etc.",Throughout the year
7119,"Goats, sheep, pigs, etc.",Throughout the year
3480,"Food crops: maize, rice, beans, etc.",Throughout the year
4774,"Food crops: maize, rice, beans, etc.",Seasonally
6509,"Food crops: maize, rice, beans, etc.",Seasonally
6509,"Goats, sheep, pigs, etc.",Seasonally
6509,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6509,Cattle,Throughout the year
5375,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5375,"Food crops: maize, rice, beans, etc.",Seasonally
9226,Oil seeds,Seasonally
9226,"Food crops: maize, rice, beans, etc.",Seasonally
5069,Oil seeds,Seasonally
5069,"Food crops: maize, rice, beans, etc.",Seasonally
2551,"Food crops: maize, rice, beans, etc.",Seasonally
2551,"Other livestock such as poultry, rabbits etc.",Throughout the year
2361,"Food crops: maize, rice, beans, etc.",Seasonally
9006,Cattle,Throughout the year
9006,"Other livestock such as poultry, rabbits etc.",Throughout the year
9006,"Food crops: maize, rice, beans, etc.",Seasonally
9006,"Goats, sheep, pigs, etc.",Throughout the year
1190,"Food crops: maize, rice, beans, etc.",Seasonally
4286,Oil seeds,Throughout the year
4286,"Food crops: maize, rice, beans, etc.",Throughout the year
6151,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
6999,"Food crops: maize, rice, beans, etc.",Seasonally
6999,"Other livestock such as poultry, rabbits etc.",Throughout the year
6999,"Goats, sheep, pigs, etc.",Throughout the year
7310,"Other livestock such as poultry, rabbits etc.",Throughout the year
7310,"Food crops: maize, rice, beans, etc.",Seasonally
2748,Oil seeds,Seasonally
2748,"Other livestock such as poultry, rabbits etc.",Throughout the year
107,"Food crops: maize, rice, beans, etc.",Seasonally
107,Oil seeds,Seasonally
2143,"Food crops: maize, rice, beans, etc.",Seasonally
2143,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
6642,Oil seeds,Seasonally
6642,"Food crops: maize, rice, beans, etc.",Seasonally
6642,Cattle,Throughout the year
7120,"Food crops: maize, rice, beans, etc.",Throughout the year
4775,"Food crops: maize, rice, beans, etc.",Seasonally
4775,Cattle,Seasonally
4776,"Goats, sheep, pigs, etc.",Throughout the year
4776,"Other livestock such as poultry, rabbits etc.",Throughout the year
4776,Cattle,Throughout the year
4776,"Food crops: maize, rice, beans, etc.",Seasonally
842,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
842,"Food crops: maize, rice, beans, etc.",Seasonally
1879,"Food crops: maize, rice, beans, etc.",Throughout the year
1879,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
8363,"Food crops: maize, rice, beans, etc.",Seasonally
4777,Oil seeds,Seasonally
4777,Cattle,Throughout the year
4777,"Goats, sheep, pigs, etc.",Throughout the year
4777,"Other livestock such as poultry, rabbits etc.",Throughout the year
4777,"Food crops: maize, rice, beans, etc.",Throughout the year
7940,"Food crops: maize, rice, beans, etc.",Seasonally
3999,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
3999,"Food crops: maize, rice, beans, etc.",Seasonally
2144,"Other livestock such as poultry, rabbits etc.",Throughout the year
2144,"Food crops: maize, rice, beans, etc.",Seasonally
2144,Oil seeds,Seasonally
8735,"Other livestock such as poultry, rabbits etc.",Throughout the year
8292,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
3277,"Food crops: maize, rice, beans, etc.",Seasonally
1681,Oil seeds,Seasonally
1681,"Food crops: maize, rice, beans, etc.",Seasonally
5614,"Food crops: maize, rice, beans, etc.",Seasonally
5070,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
5070,"Food crops: maize, rice, beans, etc.",Seasonally
5070,"Goats, sheep, pigs, etc.",Throughout the year
5070,Beekeeping,Throughout the year
395,"Food crops: maize, rice, beans, etc.",Seasonally
395,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
395,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
395,"Other livestock such as poultry, rabbits etc.",Throughout the year
395,Cattle,Throughout the year
2973,"Food crops: maize, rice, beans, etc.",Throughout the year
2973,Oil seeds,Seasonally
2973,"Other livestock such as poultry, rabbits etc.",Throughout the year
4287,"Other livestock such as poultry, rabbits etc.",Only sometimes
4287,"Food crops: maize, rice, beans, etc.",Seasonally
843,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
843,"Food crops: maize, rice, beans, etc.",Seasonally
6359,Cattle,Throughout the year
6359,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
6359,"Food crops: maize, rice, beans, etc.",Seasonally
396,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Only sometimes
396,"Food crops: maize, rice, beans, etc.",Seasonally
2749,"Goats, sheep, pigs, etc.",Throughout the year
2749,"Other livestock such as poultry, rabbits etc.",Throughout the year
2749,"Food crops: maize, rice, beans, etc.",Seasonally
2749,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
2749,Cattle,Throughout the year
2749,Oil seeds,Seasonally
6152,Cattle,Throughout the year
6152,"Food crops: maize, rice, beans, etc.",Seasonally
6152,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
4288,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
4288,"Food crops: maize, rice, beans, etc.",Seasonally
4288,"Goats, sheep, pigs, etc.",Throughout the year
9166,"Food crops: maize, rice, beans, etc.",Seasonally
108,"Food crops: maize, rice, beans, etc.",Seasonally
7121,"Food crops: maize, rice, beans, etc.",Seasonally
8293,"Food crops: maize, rice, beans, etc.",Throughout the year
1191,"Food crops: maize, rice, beans, etc.",Seasonally
1682,"Food crops: maize, rice, beans, etc.",Seasonally
1192,Cattle,Throughout the year
1192,"Food crops: maize, rice, beans, etc.",Seasonally
109,Cattle,Seasonally
109,Oil seeds,Seasonally
109,"Food crops: maize, rice, beans, etc.",Seasonally
109,"Other livestock such as poultry, rabbits etc.",Throughout the year
9007,"Other livestock such as poultry, rabbits etc.",Throughout the year
9007,"Food crops: maize, rice, beans, etc.",Seasonally
9007,Cattle,Throughout the year
9007,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
9007,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
4550,"Food crops: maize, rice, beans, etc.",Seasonally
4550,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
5071,"Goats, sheep, pigs, etc.",Throughout the year
5071,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5071,"Food crops: maize, rice, beans, etc.",Seasonally
32,Oil seeds,Seasonally
32,"Food crops: maize, rice, beans, etc.",Seasonally
33,"Other livestock such as poultry, rabbits etc.",Seasonally
33,"Goats, sheep, pigs, etc.",Seasonally
33,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
33,Cattle,Seasonally
33,"Food crops: maize, rice, beans, etc.",Seasonally
6510,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6510,"Food crops: maize, rice, beans, etc.",Seasonally
6510,Cattle,Throughout the year
4289,"Other livestock such as poultry, rabbits etc.",Throughout the year
4289,"Food crops: maize, rice, beans, etc.",Seasonally
4289,Fishing or aquaculture,Only sometimes
9104,"Goats, sheep, pigs, etc.",Throughout the year
9104,"Food crops: maize, rice, beans, etc.",Seasonally
2362,"Food crops: maize, rice, beans, etc.",Seasonally
2362,Cattle,Throughout the year
1880,"Food crops: maize, rice, beans, etc.",Seasonally
110,"Goats, sheep, pigs, etc.",Only sometimes
110,"Other livestock such as poultry, rabbits etc.",Throughout the year
110,"Food crops: maize, rice, beans, etc.",Seasonally
5212,"Food crops: maize, rice, beans, etc.",Seasonally
5212,"Goats, sheep, pigs, etc.",Throughout the year
5376,Cattle,Throughout the year
5376,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5376,Fishing or aquaculture,Seasonally
5376,"Goats, sheep, pigs, etc.",Throughout the year
5376,"Food crops: maize, rice, beans, etc.",Seasonally
5376,"Other livestock such as poultry, rabbits etc.",Throughout the year
8736,Fishing or aquaculture,Throughout the year
1489,"Food crops: maize, rice, beans, etc.",Seasonally
1489,"Goats, sheep, pigs, etc.",Throughout the year
9364,"Food crops: maize, rice, beans, etc.",Seasonally
5825,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
5825,"Food crops: maize, rice, beans, etc.",Seasonally
1193,"Other livestock such as poultry, rabbits etc.",Throughout the year
1193,"Food crops: maize, rice, beans, etc.",Seasonally
2974,"Food crops: maize, rice, beans, etc.",Seasonally
844,"Food crops: maize, rice, beans, etc.",Seasonally
111,"Goats, sheep, pigs, etc.",Throughout the year
111,"Food crops: maize, rice, beans, etc.",Seasonally
111,"Other livestock such as poultry, rabbits etc.",Throughout the year
2552,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
2552,"Food crops: maize, rice, beans, etc.",Seasonally
2552,"Goats, sheep, pigs, etc.",Throughout the year
2751,"Goats, sheep, pigs, etc.",Throughout the year
2751,"Other livestock such as poultry, rabbits etc.",Throughout the year
2751,"Food crops: maize, rice, beans, etc.",Seasonally
2751,Other (specify),Seasonally
2751,Oil seeds,Seasonally
2145,"Food crops: maize, rice, beans, etc.",Seasonally
8121,"Food crops: maize, rice, beans, etc.",Seasonally
8121,"Goats, sheep, pigs, etc.",Throughout the year
112,Oil seeds,Seasonally
112,"Food crops: maize, rice, beans, etc.",Seasonally
9302,"Goats, sheep, pigs, etc.",Throughout the year
9302,"Food crops: maize, rice, beans, etc.",Seasonally
8231,"Other livestock such as poultry, rabbits etc.",Throughout the year
8231,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
8231,"Food crops: maize, rice, beans, etc.",Seasonally
8231,Cattle,Throughout the year
845,"Food crops: maize, rice, beans, etc.",Seasonally
9105,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
9105,"Other livestock such as poultry, rabbits etc.",Throughout the year
9105,"Food crops: maize, rice, beans, etc.",Seasonally
5826,Other (specify),Seasonally
5826,"Food crops: maize, rice, beans, etc.",Seasonally
5072,"Other livestock such as poultry, rabbits etc.",Throughout the year
5072,"Food crops: maize, rice, beans, etc.",Seasonally
113,Cattle,Throughout the year
113,"Food crops: maize, rice, beans, etc.",Seasonally
113,"Other livestock such as poultry, rabbits etc.",Throughout the year
5073,"Food crops: maize, rice, beans, etc.",Seasonally
7001,"Other livestock such as poultry, rabbits etc.",Throughout the year
7449,"Other livestock such as poultry, rabbits etc.",Throughout the year
2975,"Goats, sheep, pigs, etc.",Throughout the year
2975,"Other livestock such as poultry, rabbits etc.",Throughout the year
2975,"Food crops: maize, rice, beans, etc.",Seasonally
3808,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1490,"Food crops: maize, rice, beans, etc.",Seasonally
398,"Food crops: maize, rice, beans, etc.",Seasonally
4551,"Other livestock such as poultry, rabbits etc.",Throughout the year
4551,"Food crops: maize, rice, beans, etc.",Throughout the year
846,"Food crops: maize, rice, beans, etc.",Throughout the year
4779,"Food crops: maize, rice, beans, etc.",Seasonally
1683,"Food crops: maize, rice, beans, etc.",Seasonally
5378,Cattle,Throughout the year
5378,"Food crops: maize, rice, beans, etc.",Throughout the year
3278,"Food crops: maize, rice, beans, etc.",Seasonally
1194,"Food crops: maize, rice, beans, etc.",Seasonally
114,Other (specify),Throughout the year
114,"Other livestock such as poultry, rabbits etc.",Throughout the year
114,Oil seeds,Seasonally
114,"Food crops: maize, rice, beans, etc.",Seasonally
4000,"Goats, sheep, pigs, etc.",Throughout the year
4000,Cattle,Seasonally
4000,"Other livestock such as poultry, rabbits etc.",Throughout the year
4000,"Food crops: maize, rice, beans, etc.",Seasonally
847,"Food crops: maize, rice, beans, etc.",Seasonally
1881,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1881,"Food crops: maize, rice, beans, etc.",Seasonally
1881,Other (specify),Throughout the year
848,"Other livestock such as poultry, rabbits etc.",Throughout the year
848,"Goats, sheep, pigs, etc.",Seasonally
848,"Food crops: maize, rice, beans, etc.",Seasonally
848,Oil seeds,Seasonally
5827,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5827,"Food crops: maize, rice, beans, etc.",Seasonally
3809,"Food crops: maize, rice, beans, etc.",Seasonally
3809,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Throughout the year
3279,"Food crops: maize, rice, beans, etc.",Seasonally
5828,"Food crops: maize, rice, beans, etc.",Seasonally
5828,Other (specify),Seasonally
5828,Cattle,Throughout the year
4780,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
4780,Oil seeds,Seasonally
4780,"Food crops: maize, rice, beans, etc.",Seasonally
8232,Oil seeds,Seasonally
8232,"Food crops: maize, rice, beans, etc.",Seasonally
8232,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
8232,"Other livestock such as poultry, rabbits etc.",Throughout the year
5213,"Food crops: maize, rice, beans, etc.",Seasonally
5213,"Other livestock such as poultry, rabbits etc.",Only sometimes
1882,"Food crops: maize, rice, beans, etc.",Seasonally
6360,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2146,"Food crops: maize, rice, beans, etc.",Seasonally
5074,"Goats, sheep, pigs, etc.",Throughout the year
5074,Cattle,Throughout the year
5074,"Other livestock such as poultry, rabbits etc.",Throughout the year
5074,"Food crops: maize, rice, beans, etc.",Seasonally
115,Oil seeds,Seasonally
116,Oil seeds,Seasonally
116,"Food crops: maize, rice, beans, etc.",Seasonally
3482,"Food crops: maize, rice, beans, etc.",Seasonally
2364,"Food crops: maize, rice, beans, etc.",Seasonally
2147,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
2147,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2147,"Food crops: maize, rice, beans, etc.",Seasonally
2147,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
1883,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
9366,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
9366,"Food crops: maize, rice, beans, etc.",Seasonally
2553,"Food crops: maize, rice, beans, etc.",Seasonally
2148,"Food crops: maize, rice, beans, etc.",Seasonally
4001,"Food crops: maize, rice, beans, etc.",Seasonally
4001,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Only sometimes
5214,"Other livestock such as poultry, rabbits etc.",Throughout the year
5214,"Food crops: maize, rice, beans, etc.",Seasonally
3810,"Food crops: maize, rice, beans, etc.",Seasonally
5379,"Food crops: maize, rice, beans, etc.",Seasonally
5379,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
5379,Cattle,Throughout the year
5379,Oil seeds,Seasonally
5379,"Goats, sheep, pigs, etc.",Throughout the year
5379,"Other livestock such as poultry, rabbits etc.",Throughout the year
1196,"Food crops: maize, rice, beans, etc.",Seasonally
1196,Oil seeds,Seasonally
4781,"Food crops: maize, rice, beans, etc.",Seasonally
4781,"Goats, sheep, pigs, etc.",Throughout the year
4002,"Food crops: maize, rice, beans, etc.",Seasonally
4002,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
8738,"Other livestock such as poultry, rabbits etc.",Throughout the year
8738,"Food crops: maize, rice, beans, etc.",Seasonally
849,"Other livestock such as poultry, rabbits etc.",Throughout the year
849,"Food crops: maize, rice, beans, etc.",Seasonally
9619,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
9619,"Other livestock such as poultry, rabbits etc.",Throughout the year
399,Cattle,Throughout the year
399,"Goats, sheep, pigs, etc.",Throughout the year
399,"Other livestock such as poultry, rabbits etc.",Throughout the year
5996,Cattle,Throughout the year
5996,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
5996,"Food crops: maize, rice, beans, etc.",Seasonally
2365,"Other livestock such as poultry, rabbits etc.",Throughout the year
2365,Cattle,Throughout the year
2365,"Food crops: maize, rice, beans, etc.",Seasonally
5075,"Food crops: maize, rice, beans, etc.",Seasonally
5075,"Other livestock such as poultry, rabbits etc.",Throughout the year
2366,"Food crops: maize, rice, beans, etc.",Throughout the year
117,"Food crops: maize, rice, beans, etc.",Seasonally
117,Oil seeds,Seasonally
2976,"Food crops: maize, rice, beans, etc.",Seasonally
2976,"Goats, sheep, pigs, etc.",Throughout the year
2976,Cattle,Throughout the year
2976,"Other livestock such as poultry, rabbits etc.",Throughout the year
4003,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
4003,"Food crops: maize, rice, beans, etc.",Seasonally
4003,"Goats, sheep, pigs, etc.",Throughout the year
118,Cattle,Throughout the year
118,"Goats, sheep, pigs, etc.",Throughout the year
118,"Other livestock such as poultry, rabbits etc.",Throughout the year
118,Oil seeds,Seasonally
118,"Food crops: maize, rice, beans, etc.",Seasonally
7892,"Food crops: maize, rice, beans, etc.",Seasonally
7892,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
8294,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
5380,"Food crops: maize, rice, beans, etc.",Seasonally
1885,"Food crops: maize, rice, beans, etc.",Seasonally
4004,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
4004,"Other livestock such as poultry, rabbits etc.",Throughout the year
4004,"Food crops: maize, rice, beans, etc.",Throughout the year
4004,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
5829,"Other livestock such as poultry, rabbits etc.",Throughout the year
5829,"Goats, sheep, pigs, etc.",Throughout the year
5829,Cattle,Throughout the year
5829,"Food crops: maize, rice, beans, etc.",Seasonally
5829,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
8426,"Food crops: maize, rice, beans, etc.",Seasonally
7942,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
7942,"Food crops: maize, rice, beans, etc.",Seasonally
9369,"Food crops: maize, rice, beans, etc.",Throughout the year
3484,"Food crops: maize, rice, beans, etc.",Seasonally
4783,"Food crops: maize, rice, beans, etc.",Seasonally
4783,Oil seeds,Seasonally
4783,"Other livestock such as poultry, rabbits etc.",Only sometimes
4783,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
3811,"Food crops: maize, rice, beans, etc.",Seasonally
4291,Fishing or aquaculture,Throughout the year
4552,"Food crops: maize, rice, beans, etc.",Seasonally
4552,Cattle,Throughout the year
4552,"Goats, sheep, pigs, etc.",Throughout the year
4552,"Other livestock such as poultry, rabbits etc.",Throughout the year
1197,"Food crops: maize, rice, beans, etc.",Seasonally
1197,Oil seeds,Seasonally
2367,"Other livestock such as poultry, rabbits etc.",Throughout the year
2367,"Food crops: maize, rice, beans, etc.",Seasonally
5830,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1684,"Food crops: maize, rice, beans, etc.",Seasonally
5381,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
5381,"Food crops: maize, rice, beans, etc.",Throughout the year
1886,"Food crops: maize, rice, beans, etc.",Seasonally
1886,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
2753,Oil seeds,Seasonally
2753,"Food crops: maize, rice, beans, etc.",Seasonally
2753,"Other livestock such as poultry, rabbits etc.",Throughout the year
2753,Cattle,Throughout the year
2753,"Goats, sheep, pigs, etc.",Throughout the year
6291,"Food crops: maize, rice, beans, etc.",Seasonally
5615,"Food crops: maize, rice, beans, etc.",Throughout the year
5615,"Goats, sheep, pigs, etc.",Throughout the year
5615,"Other livestock such as poultry, rabbits etc.",Throughout the year
400,"Food crops: maize, rice, beans, etc.",Seasonally
400,"Goats, sheep, pigs, etc.",Throughout the year
5215,"Food crops: maize, rice, beans, etc.",Seasonally
5215,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
1198,"Food crops: maize, rice, beans, etc.",Seasonally
4784,"Food crops: maize, rice, beans, etc.",Throughout the year
5076,"Food crops: maize, rice, beans, etc.",Seasonally
5076,"Other livestock such as poultry, rabbits etc.",Throughout the year
