SN,loan__id,g_10_1,g_10_2,g_10_3,g_10_6,g_10_8,g10_1n_1,g10_1n_2,g10_1n_3,g10_1n_4
1518,Bank,True,True,True,True,False,False,True,False,True
8781,SACCOS,True,True,False,True,True,True,True,False,False
8302,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,False,True,True,False,False
8046,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
3023,Bank,True,True,True,True,True,True,True,False,False
5657,Bank,False,True,True,True,False, , , , 
4828,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1712,Bank,True,True,True,True,False,True,True,False,False
2190,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,False,False
437,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,True
8239,SACCOS,True,True,True,True,True,True,True,True,False
9113,Bank,True,True,True,True,True,True,True,True,False
9113,SACCOS,True,True,True,True,True,True,True,True,False
4839,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9400,Bank,True,True,True,True,False,True,True,False,False
9114,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7158,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
9665,SACCOS,True,True,True,True,True,True,True,True,False
917,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
8798,SACCOS,True,True,True,True,True,True,True,False,False
651,Bank,True,True,True,True,True,True,True,False,False
8140,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
6185,Bank,True,True,True,True,False,True,True,False,False
8801,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,True
9586,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
8802,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
7960,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9037,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,True
5666,SACCOS,True,True,True,True,False,True,True,False,False
